NAME NAME Blurry and spotty . Glad we pay every month for this service ! 	NAME NAME Blurry and spotty .<br> Glad we pay every month for this service !	2	-2	 NAME[0] NAME[0] Blurry[-1] and[0] spotty[0] [[Sentence=-2,1=word max, 1-5]] Glad[1] we[0] pay[0] every[0] month[0] for[0] this[0] service[0] [[Sentence=-1,2=word max, 1-5]][[[2,-2 max of sentences]]]
NAME You acting all cool and bad to get the boys , but in reality , you act all drunk and kiddish to get arrested . NAME	NAME You acting all cool and bad to get the boys , but in reality , you act all drunk and kiddish to get arrested .<br> NAME	2	-2	 NAME[0] You[0] acting[0] all[0] cool[1] and[0] bad[-1] to[0] get[0] the[0] boys[0] but[0] in[0] reality[0] you[0] act[0] all[0] drunk[-1] and[0] kiddish[0] to[0] get[0] arrested[0] [[Sentence=-2,2=word max, 1-5]] NAME[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
THIS !  ActivismRhymes  CreativeDissent  SaffronEmergency HYPERLINK	THIS !<br>  ActivismRhymes  CreativeDissent  SaffronEmergency HYPERLINK	1	-1	 THIS[0] [[Sentence=-1,1=word max, 1-5]] ActivismRhymes[0] CreativeDissent[0] SaffronEmergency[0] HYPERLINK[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
NAME NAME Nice to see Cespedes starting this year like he ended last . 	NAME NAME Nice to see Cespedes starting this year like he ended last .	2	-1	 NAME[0] NAME[0] Nice[1] to[0] see[0] Cespedes[0] starting[0] this[0] year[0] like[1] he[0] ended[0] last[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
NAME Always thought was more of Hamline or St . Thomas sort of thing ? :) #JohnniePride	NAME Always thought was more of Hamline or St .<br> Thomas sort of thing ?<br> ? #JohnniePride	2	-1	 NAME[0] Always[0] thought[0] was[0] more[0] of[0] Hamline[0] or[0] St[0] [[Sentence=-1,1=word max, 1-5]] Thomas[0] sort[0] of[0] thing[0] [[Sentence=-1,1=word max, 1-5]][+1 Emoticon] #JohnniePride[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
No a day all you need is a face tattoo and a snap chat  niggawemadeit 	No a day all you need is a face tattoo and a snap chat  niggawemadeit	1	-1	 No[0] a[0] day[0] all[0] you[0] need[0] is[0] a[0] face[0] tattoo[0] and[0] a[0] snap[0] chat[0] niggawemadeit[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Thank you NAME for sending me the wrong order and making me the proud owner of 5 pairs of women's flip-flops . 	Thank you NAME for sending me the wrong order and making me the proud owner of 5 pairs of women's flip-flops .	2	-2	 Thank[1] you[0] NAME[0] for[0] sending[0] me[0] the[0] wrong[-1] order[0] and[0] making[0] me[0] the[0] proud[1] owner[0] of[0] 5[0] pairs[0] of[0] women's[0] flip[0] flops[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
NAME Really ! ? Are will still mocking dyslexic people and thinking it’s OK ? Nice work NAME -_- HYPERLINK	NAME Really !<br> ?<br> Are will still mocking dyslexic people and thinking it’s OK ?<br> Nice work NAME -_- HYPERLINK	2	-3	 NAME[0] Really[0] [[Sentence=-1,1=word max, 1-5]] Are[0] will[0] still[0] mocking[-2] dyslexic[0] people[0] and[0] thinking[0] it’s[0] OK[0] [[Sentence=-3,1=word max, 1-5]] Nice[1] work[0] NAME[0] -_[0] HYPERLINK[0] [[Sentence=-1,2=word max, 1-5]][[[2,-3 max of sentences]]]
NAME thanks for making me wait 10 minutes in the drive thru for N-ville Hot Chicken to then tell me you were all out !  greatservice 	NAME thanks for making me wait 10 minutes in the drive thru for N-vile Hot Chicken to then tell me you were all out !<br>  greatservice	3	-4	 NAME[0] thanks[1] for[0] making[0] me[0] wait[0] 10[0] minutes[0] in[0] the[0] drive[0] thru[0] for[0] N[0] ville/vile[-3] Hot[0] Chicken[0] to[0] then[0] tell[0] me[0] you[0] were[0] all[0] out[0] [[Sentence=-4,2=word max, 1-5]] greatservice[2] [[Sentence=-1,3=word max, 1-5]][[[3,-4 max of sentences]]]
While crossing road look left and right . T & amp;C - If you are a resident of West Bengal look above also #KolkataFlyoverCollapse#prayers	While crossing road look left and right .<br> T & amp;C - If you are a resident of West Bengal look above also #KolkataFlyoverCollapse#prayers	1	-1	 While[0] crossing[0] road[0] look[0] left[0] and[0] right[0] [[Sentence=-1,1=word max, 1-5]] T[0] &[0] amp[0] C[0] If[0] you[0] are[0] a[0] resident[0] of[0] West[0] Bengal[0] look[0] above[0] also[0] #KolkataFlyoverCollapse#prayers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
NAME NAME NAME Good thing we brought all of those  SyrianRefugees over , to further clog up the healthcare sys…	NAME NAME NAME Good thing we brought all of those  SyrianRefugees over , to further clog up the healthcare sys…	2	-2	 NAME[0] NAME[0] NAME[0] Good[1] thing[0] we[0] brought[0] all[0] of[0] those[0] SyrianRefugees[0] over[0] to[0] further[0] clog[-1] up[0] the[0] healthcare[0] sys…[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
NAME Get gonna REALLY enjoy the morning commute ! 	NAME Get gonna REALLY enjoy the morning commute !	4	-1	 NAME[0] Get[0] gonna[0] REALLY[0] enjoy[2][1 LastWordBoosterStrength] the[0] morning[0] commute[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
NAME Husband tweet: "wow . he seems so great with kids . "  TheBachelor	NAME Husband tweet: "wow .<br> he seems so great with kids .<br> "  TheBachelor	3	-1	 NAME[0] Husband[0] tweet[0] wow[2] [[Sentence=-1,3=word max, 1-5]] he[0] seems[0] so[0] great[2] with[0] kids[0] [[Sentence=-1,3=word max, 1-5]] TheBachelor[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
NAME NAME Let me guess . . . you don't understand and you are  Voting as a  Democrat . . . am I wrong ? ? ? Just sayin . . . 	NAME NAME Let me guess .<br> .<br> .<br> you don't understand and you are  Voting as a  Democrat .<br> .<br> .<br> am I wrong ?<br> ?<br> ?<br> Just sayin .<br> .<br> .	1	-2	 NAME[0] NAME[0] Let[0] me[0] guess[0] [[Sentence=-1,1=word max, 1-5]] you[0] don't[0] understand[0] and[0] you[0] are[0] Voting[0] as[0] a[0] Democrat[0] [[Sentence=-1,1=word max, 1-5]] am[0] I[0] wrong[-1] [[Sentence=-2,1=word max, 1-5]] Just[0] sayin[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
NAME Whoa ! See if this chick has an iPhone . Maybe she has encrypted information the government should pry out of Apple .  usgov	NAME Whoa !<br> See if this chick has an iPhone .<br> Maybe she has encrypted information the government should pry out of Apple .<br>  usgov	1	-1	 NAME[0] Whoa[0] [[Sentence=-1,1=word max, 1-5]] See[0] if[0] this[0] chick[0] has[0] an[0] iPhone[0] [[Sentence=-1,1=word max, 1-5]] Maybe[0] she[0] has[0] encrypted[0] information[0] the[0] government[0] should[0] pry[-1][--1 LastWordBoosterStrength] out[0] of[0] Apple[0] [[Sentence=-1,1=word max, 1-5]] usgov[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Mr . Says: reason #5000 why you can't die . I don't know how to change the pepper grinder courseness #feelingloved 	Mr .<br> Says: reason #500 why you can't die .<br> I don't know how to change the pepper grinder courseness #feelingloved	1	-1	 Mr[0] [[Sentence=-1,1=word max, 1-5]] Says[0] reason[0] #5000/#500[0] why[0] you[0] can't[0] die[0] [[Sentence=-1,1=word max, 1-5]] I[0] don't[0] know[0] how[0] to[0] change[0] the[0] pepper[0] grinder[0] courseness[0] #feelingloved[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Other than sprinkling chili powder in my yogurt instead of cinnamon I'd say my night is going pretty dang great . . 	Other than sprinkling chili powder in my yogurt instead of cinnamon I'd say my night is going pretty dang great .<br> .	3	-1	 Other[0] than[0] sprinkling[0] chili[0] powder[0] in[0] my[0] yogurt[0] instead[0] of[0] cinnamon[0] I'd[0] say[0] my[0] night[0] is[0] going[0] pretty[2] dang[0] great[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
text test native twit - & gt; fb pg 	text test native twit - & gt; fb pg	1	-2	 text[0] test[0] native[0] twit[-1] &[0] gt[0] fb[0] pg[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
Don't need remarks from people like you . It's too early in the  goddamn  morning to be this  irritated . 	Don't need remarks from people like you .<br> It's too early in the  goddamn  morning to be this  irritated .	2	-3	 Don't[0] need[0] remarks[0] from[0] people[0] like[1] you[0] [[Sentence=-1,2=word max, 1-5]] It's[0] too[0] early[0] in[0] the[0] goddamn[-2] morning[0] to[0] be[0] this[0] irritated[-2] [[Sentence=-3,1=word max, 1-5]][[[2,-3 max of sentences]]]
NAME 100% gluten free , low calorie , low salt , soy burrito & amp; tacos !  foodporn  healthfood ;) HYPERLINK	NAME 100% gluten free , low calorie , low salt , soy burrito & amp; tacos !<br>  foodporn  healthfood healthfood HYPERLINK	1	-2	 NAME[0] 100%[0] gluten[0] free[0] low[-1] calorie[0] low[-1] salt[0] soy[0] burrito[0] &[0] amp[0] tacos[0] [[Sentence=-2,1=word max, 1-5]] foodporn[0] healthfood[0] HYPERLINK[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
NOPE . . . Your still a bitch . 	NOPE .<br> .<br> .<br> Your still a bitch .	1	-2	 NOPE[0] [[Sentence=-1,1=word max, 1-5]] Your[0] still[0] a[0] bitch[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
NAME This is how she talks NAME	NAME This is how she talks NAME	1	-1	 NAME[0] This[0] is[0] how[0] she[0] talks[0] NAME[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Oh man Scott Baio is in his camp . I immediately take back all my negative feelings towards Trump . #dumbass HYPERLINK	Oh man Scott Baio is in his camp .<br> I immediately take back all my negative feelings towards Trump .<br> #dumbass HYPERLINK	1	-2	 Oh[0] man[0] Scott[0] Baio[0] is[0] in[0] his[0] camp[0] [[Sentence=-1,1=word max, 1-5]] I[0] immediately[0] take[0] back[0] all[0] my[0] negative[-1] feelings[0] towards[0] Trump[0] [[Sentence=-2,1=word max, 1-5]] #dumbass[0] HYPERLINK[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
Another typically terrific Duke/North Carolina game last night . Only thing missing was the ESPN floor cam . 	Another typically terrific Duke/North Carolina game last night .<br> Only thing missing was the ESPN floor cam .	4	-1	 Another[0] typically[0] terrific[3] Duke/North[0] Carolina[0] game[0] last[0] night[0] [[Sentence=-1,4=word max, 1-5]] Only[0] thing[0] missing[0] was[0] the[0] ESPN[0] floor[0] cam[0] [[Sentence=-1,1=word max, 1-5]][[[4,-1 max of sentences]]]
RACIST ! Clearly the 2 old , angry , white , socialist , Democrats reflect minorities communities better ! Duh . HYPERLINK	RACIST !<br> Clearly the 2 old , angry , white , socialist , Democrats reflect minorities communities better !<br> Duh .<br> HYPERLINK	1	-4	 RACIST[-1] [[Sentence=-2,1=word max, 1-5]] Clearly[0] the[0] 2[0] old[0] angry[-3] white[0] socialist[0] Democrats[0] reflect[0] minorities[0] communities[0] better[0] [[Sentence=-4,1=word max, 1-5]] Duh[0] [[Sentence=-1,1=word max, 1-5]] HYPERLINK[0] [[Sentence=-1,1=word max, 1-5]][[[1,-4 max of sentences]]]
SAM PEPPER QUITS LIFEHYPERLINK funnyvideo  video  meme  nicememe  youtube  csgo  commentary 	SAM PEPPER QUITS LIFEHYPERLINK funnyvideo  video  meme  nicememe  youtube  csgo  commentary	2	-1	 SAM[0] PEPPER[0] QUITS[0] LIFEHYPERLINK[0] funnyvideo[1] video[0] meme[0] nicememe[1] youtube[0] csgo[0] commentary[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
NAME Sarcasm and shenanignas , it's what brings us mommies together . #YoursInSisterhood #shenanigan #lifelong HYPERLINK	NAME Sarcasm and shenanignas , it's what brings us mommies together .<br> #YoursInSisterhood #shenanigan #lifelong HYPERLINK	1	-3	 NAME[0] Sarcasm[-2] and[0] shenanignas[0] it's[0] what[0] brings[0] us[0] mommies[0] together[0] [[Sentence=-3,1=word max, 1-5]] #YoursInSisterhood[0] #shenanigan[0] #lifelong[0] HYPERLINK[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
NAME NAME yeah we wouldn't want a leadoff hitter with a . 370 career OBP , the horror ! 	NAME NAME yeah we wouldn't want a leadoff hitter with a .<br> 370 career OBP , the horror !	1	-4	 NAME[0] NAME[0] yeah[0] we[0] wouldn't[0] want[0] a[0] leadoff[0] hitter[0] with[0] a[0] [[Sentence=-1,1=word max, 1-5]] 370[0] career[0] OBP[0] the[0] horror[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
NAME NO ! Black people cant be racist , DUH ! ! HYPERLINK	NAME NO !<br> Black people cant be racist , DUH !<br> !<br> HYPERLINK	2	-1	 NAME[0] NO[0] [[Sentence=-1,1=word max, 1-5]] Black[0] people[0] cant[0] be[0] racist[-1][NegatedDueToPreviousWord] DUH[0] [[Sentence=-1,2=word max, 1-5]] HYPERLINK[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
What a fascinating fact that proves how competent you would be as president . . . HYPERLINK	What a fascinating fact that proves how competent you would be as president .<br> .<br> .<br> HYPERLINK	1	-1	 What[0] a[0] fascinating[0] fact[0] that[0] proves[0] how[0] competent[0] you[0] would[0] be[0] as[0] president[0] [[Sentence=-1,1=word max, 1-5]] HYPERLINK[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
WHAT A DAY NAME WHAT A DAY YOU HAD . MAKING EVERYONE ELSE'S RACE BETTER 	WHAT A DAY NAME WHAT A DAY YOU HAD .<br> MAKING EVERYONE ELSE'S RACE BETTER	1	-1	 WHAT[0] A[0] DAY[0] NAME[0] WHAT[0] A[0] DAY[0] YOU[0] HAD[0] [[Sentence=-1,1=word max, 1-5]] MAKING[0] EVERYONE[0] ELSE'S[0] RACE[0] BETTER[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Dean Ambrose lost his IC title just so he could NOT go to the WrestleMania main event . . . top booking Vince  FastLane *sigh*	Dean Ambrose lost his IC title just so he could NOT go to the WrestleMania main event .<br> .<br> .<br> top booking Vince  FastLane *sigh*	1	-1	 Dean[0] Ambrose[0] lost[0] his[0] IC[0] title[0] just[0] so[0] he[0] could[0] NOT[0] go[0] to[0] the[0] WrestleMania[0] main[0] event[0] [[Sentence=-1,1=word max, 1-5]] top[0] booking[0] Vince[0] FastLane[0] sigh[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Seems legit ! #MakeAmericaHateAgain #DumpTrump #NeverTrump NAME NAME NAME HYPERLINK	Seems legit !<br> #MakeAmericaHateAgain #DumpTrump #NeverTrump NAME NAME NAME HYPERLINK	1	-1	 Seems[0] legit[0] [[Sentence=-1,1=word max, 1-5]] #MakeAmericaHateAgain[0] #DumpTrump[0] #NeverTrump[0] NAME[0] NAME[0] NAME[0] HYPERLINK[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
I will never #not #laugh #at #this . #shaw #churchill #lawrence #jedimasters HYPERLINK	I will never #not #laugh #at #this .<br> #shaw #churchill #lawrence #jedimasters HYPERLINK	1	-1	 I[0] will[0] never[0] #not[0] #laugh[0] #at[0] #this[0] [[Sentence=-1,1=word max, 1-5]] #shaw[0] #churchill[0] #lawrence[0] #jedimasters[0] HYPERLINK[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
I am SOOOO RELIEVED to see the NAME left their bats in storage ! Was afraid things would be different than last ssn ! "Whew" ! 	I am SOO RELIEVED to see the NAME left their bats in storage !<br> Was afraid things would be different than last ssn !<br> "Whew" !	2	-4	 I[0] am[0] SOOOO/SOO[0][+0.6 MultipleLetters] RELIEVED[1] to[0] see[0] the[0] NAME[0] left[0] their[0] bats[0] in[0] storage[0] [[Sentence=-1,2=word max, 1-5]] Was[0] afraid[-3] things[0] would[0] be[0] different[0] than[0] last[0] ssn[0] [[Sentence=-4,1=word max, 1-5]] Whew[0] [[Sentence=-1,1=word max, 1-5]][[[2,-4 max of sentences]]]
NAME Never saw this coming from pandering pukes at ESPN . . You hang in there NAME & amp; opine ur ass offHYPERLINK	NAME Never saw this coming from pandering pukes at ESPN .<br> .<br> You hang in there NAME & amp; opine you are ass offHYPERLINK	1	-3	 NAME[0] Never[0] saw[0] this[0] coming[0] from[0] pandering[0] pukes[-2] at[0] ESPN[0] [[Sentence=-3,1=word max, 1-5]] You[0] hang[-1] in[0] there[0] NAME[0] &[0] amp[0] opine[0] ur[0] ass[0] offHYPERLINK[0] [[Sentence=-2,1=word max, 1-5]][[[1,-3 max of sentences]]]
That takes a lot of work . NAME #rebelcircus #funny #meme #bitchy by rebelcircusquotes_ HYPERLINK	That takes a lot of work .<br> NAME #rebelcircus #funny #meme #bitchy by rebelcircusquotes_ HYPERLINK	1	-2	 That[0] takes[0] a[0] lot[0] of[0] work[0] [[Sentence=-1,1=word max, 1-5]] NAME[0] #rebelcircus[0] #funny[0] #meme[0] #bitchy[0] by[0] rebelcircusquotes_[-1] HYPERLINK[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
owned HYPERLINK	owned HYPERLINK	1	-1	 owned[0] HYPERLINK[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
: " Works Great—Mathematicians Just Don’t Know Why"Is this ? HYPERLINK	: " Works Great—Mathematicians Just Don’t Know Why"Is this ?<br> HYPERLINK	3	-1	 Works[0] Great—Mathematicians[2] Just[0] Don’t[0] Know[0] Why[0] Is[0] this[0] [[Sentence=-1,3=word max, 1-5]] HYPERLINK[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
You're right . This will barely make news . HYPERLINK	You're right .<br> This will barely make news .<br> HYPERLINK	1	-1	 You're[0] right[0] [[Sentence=-1,1=word max, 1-5]] This[0] will[0] barely[0] make[0] news[0] [[Sentence=-1,1=word max, 1-5]] HYPERLINK[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Quite an all-star lineup there . . . #politics HYPERLINK	Quite an all-star lineup there .<br> .<br> .<br> #politics HYPERLINK	1	-1	 Quite[0] an[0] all[0] star[0] lineup[0] there[0] [[Sentence=-1,1=word max, 1-5]] #politics[0] HYPERLINK[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
I have 10  pages of homework to type by Sunday . . .  LoveMyLife 	I have 10  pages of homework to type by Sunday .<br> .<br> .<br>  LoveMyLife	1	-1	 I[0] have[0] 10[0] pages[0] of[0] homework[0] to[0] type[0] by[0] Sunday[0] [[Sentence=-1,1=word max, 1-5]] LoveMyLife[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
TheDIS : Everyone's favorite ride ! HYPERLINK HYPERLINK	TheDIS : Everyone's favorite ride !<br> HYPERLINK HYPERLINK	2	-1	 TheDIS[0] Everyone's[0] favorite[1] ride[0] [[Sentence=-1,2=word max, 1-5]] HYPERLINK[0] HYPERLINK[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
MTwain - "Just as the Earth was made for man , the Eiffel Tower must have been built for the skin of paint at its pinnacle" anyone ? 	MTwain - "Just as the Earth was made for man , the Eiffel Tower must have been built for the skin of paint at its pinnacle" anyone ?	1	-1	 MTwain[0] Just[0] as[0] the[0] Earth[0] was[0] made[0] for[0] man[0] the[0] Eiffel[0] Tower[0] must[0] have[0] been[0] built[0] for[0] the[0] skin[0] of[0] paint[0] at[0] its[0] pinnacle[0] anyone[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
The only person right now who ask's me whats happening in twitter 	The only person right now who ask's me whats happening in twitter	1	-1	 The[0] only[0] person[0] right[0] now[0] who[0] ask's[0] me[0] whats[0] happening[0] in[0] twitter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
NAME don't you know , everything that's wrong with our country is Trump's fault now ? 	NAME don't you know , everything that's wrong with our country is Trump's fault now ?	1	-2	 NAME[0] don't[0] you[0] know[0] everything[0] that's[0] wrong[-1] with[0] our[0] country[0] is[0] Trump's[0] fault[-1] now[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
NAME at this rate , Cardiff . At least they have the dosh to fly everywhere	NAME at this rate , Cardiff .<br> At least they have the dosh to fly everywhere	1	-1	 NAME[0] at[0] this[0] rate[0] Cardiff[0] [[Sentence=-1,1=word max, 1-5]] At[0] least[0] they[0] have[0] the[0] dosh[0] to[0] fly[0] everywhere[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
OMGee I'm really enjoying my time with 100 girl guides this evening . My girl loves when I follow her around  MomLife	OMGee I'm really enjoying my time with 100 girl guides this evening .<br> My girl loves when I follow her around  MomLife	4	-1	 OMGee[0] I'm[0] really[0] enjoying[2][1 LastWordBoosterStrength] my[0] time[0] with[0] 100[0] girl[0] guides[0] this[0] evening[0] [[Sentence=-1,4=word max, 1-5]] My[0] girl[0] loves[2] when[0] I[0] follow[0] her[0] around[0] MomLife[0] [[Sentence=-1,3=word max, 1-5]][[[4,-1 max of sentences]]]
I feel so l33t now :P is this really what we have been reduced to trolololol  TwittersDead	I feel so l33t now now is this really what we have been reduced to trolololol  TwittersDead	2	-1	 I[0] feel[0] so[0] l33t[0] now[0][+1 Emoticon] is[0] this[0] really[0] what[0] we[0] have[0] been[0] reduced[0] to[0] trolololol[0] TwittersDead[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Terry Collins should definitely peace Wright in 2 hole when he has Conforto or Walker as options . #Mets NAME #spinalstenosis	Terry Collins should definitely peace Wright in 2 hole when he has Conforto or Walker as options .<br> #Mets NAME #spinalstenosis	1	-1	 Terry[0] Collins[0] should[0] definitely[0] peace[0] Wright[0] in[0] 2[0] hole[0] when[0] he[0] has[0] Conforto[0] or[0] Walker[0] as[0] options[0] [[Sentence=-1,1=word max, 1-5]] #Mets[0] NAME[0] #spinalstenosis[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Dont you love when people look at you #story on #snapchat but refuse to have a conversation with you threw the app 	Dont you love when people look at you #story on #snapchat but refuse to have a conversation with you threw the ap	1	-3	 Dont[0] you[0] love[2][NegatedDueToPreviousWord] when[0] people[0] look[0] at[0] you[0] #story[0] on[0] #snapchat[0] but[0] refuse[-1] to[0] have[0] a[0] conversation[0] with[0] you[0] threw[0] the[0] app/ap[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
NAME No Sweat Pants Allowed - Wine Club !  sassy  warm  funny HYPERLINK …    HYPERLINK     	NAME No Sweat Pants Allowed - Wine Club !<br>  sassy  warm  funny HYPERLINK …    HYPERLINK    	2	-1	 NAME[0] No[0] Sweat[0] Pants[0] Allowed[0] Wine[0] Club[0] [[Sentence=-1,1=word max, 1-5]] sassy[0] warm[0] funny[1] HYPERLINK[0] …[0] HYPERLINK[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Oh look , the diversity . . . HYPERLINK	Oh look , the diversity .<br> .<br> .<br> HYPERLINK	1	-1	 Oh[0] look[0] the[0] diversity[0] [[Sentence=-1,1=word max, 1-5]] HYPERLINK[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Ur right . He shouldn't celebrate a milestone in his career . How dare he . HYPERLINK	Ur right .<br> He shouldn't celebrate a milestone in his career .<br> How dare he .<br> HYPERLINK	2	-1	 Ur[0] right[0] [[Sentence=-1,1=word max, 1-5]] He[0] shouldn't[0] celebrate[1] a[0] milestone[0] in[0] his[0] career[0] [[Sentence=-1,2=word max, 1-5]] How[0] dare[0] he[0] [[Sentence=-1,1=word max, 1-5]] HYPERLINK[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
Check out this Loading . . . please wait  funny  tshirt ideal for  gift HYPERLINK  hahaha	Check out this Loading .<br> .<br> .<br> please wait  funny  tshirt ideal for  gift HYPERLINK  hahaha	2	-1	 Check[0] out[0] this[0] Loading[0] [[Sentence=-1,1=word max, 1-5]] please[1] wait[0] funny[1] tshirt[0] ideal[0] for[0] gift[0] HYPERLINK[0] hahaha[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
The sun should be shining out your ass if you expect me to care about your morning boner . . . #tacos #bipolar HYPERLINK	The sun should be shining out your ass if you expect me to care about your morning boner .<br> .<br> .<br> #tacos #bipolar HYPERLINK	2	-1	 The[0] sun[0] should[0] be[0] shining[0] out[0] your[0] ass[0] if[0] you[0] expect[0] me[0] to[0] care[1] about[0] your[0] morning[0] boner[0] [[Sentence=-1,2=word max, 1-5]] #tacos[0] #bipolar[0] HYPERLINK[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
Thanks to the Wyatt family for putting over NAME and NAME , they needed it NAME 	Thanks to the Wyatt family for putting over NAME and NAME , they needed it NAME	2	-1	 Thanks[1] to[0] the[0] Wyatt[0] family[0] for[0] putting[0] over[0] NAME[0] and[0] NAME[0] they[0] needed[0] it[0] NAME[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
I am outraged at the U . S . Bankruptcy Trustee's claim Do they not realize that Hans had a "Come To Jesus" moment . NAME	I am outraged at the U .<br> S .<br> Bankruptcy Trustee's claim Do they not realize that Hans had a "Come To Jesus" moment .<br> NAME	1	-3	 I[0] am[0] outraged[-2] at[0] the[0] U[0] [[Sentence=-3,1=word max, 1-5]] S[0] [[Sentence=-1,1=word max, 1-5]] Bankruptcy[-2] Trustee's[0] claim[0] Do[0] they[0] not[0] realize[0] that[0] Hans[0] had[0] a[0] Come[0] To[0] Jesus[0] moment[0] [[Sentence=-3,1=word max, 1-5]] NAME[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
What a fascinating fact that proves how competent you would be as president . I love how specific you are . . . HYPERLINK	What a fascinating fact that proves how competent you would be as president .<br> I love how specific you are .<br> .<br> .<br> HYPERLINK	3	-1	 What[0] a[0] fascinating[0] fact[0] that[0] proves[0] how[0] competent[0] you[0] would[0] be[0] as[0] president[0] [[Sentence=-1,1=word max, 1-5]] I[0] love[2] how[0] specific[0] you[0] are[0] [[Sentence=-1,3=word max, 1-5]] HYPERLINK[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
 . NAME NAME NAME Sounds like modus operandi of global corp econ hitmen . Productive use of human mind . 	 .<br> NAME NAME NAME Sounds like modus operandi of global corp econ hitmen .<br> Productive use of human mind .	2	-1	 NAME[0] NAME[0] NAME[0] Sounds[0] like[1] modus[0] operandi[0] of[0] global[0] corp[0] econ[0] hitmen[0] [[Sentence=-1,2=word max, 1-5]] Productive[0] use[0] of[0] human[0] mind[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
NAME duh . . . . rinse off with bottled water   A-OK . No worries . 	NAME duh .<br> .<br> .<br> .<br> rinse off with bottled water   A-OK .<br> No worries .	1	-4	 NAME[0] duh[0] [[Sentence=-1,1=word max, 1-5]] rinse[0] off[0] with[0] bottled[0] water[0] A[0] OK[0] [[Sentence=-1,1=word max, 1-5]] No[0] worries[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
